RLN,CCC,Mtons,Stons,Sqft,NumPieces,Length,Width,Height,Description,LongDescription,CargoId
1:03AEC,A1D,50.7,22.1,210,6,258,117,116,F60530FIGHTING,,1:03AEC.A1D0002
1:03AEC,A1D,55.6,28,230,6,283,117,116,Z06157ARMD MAI,,1:03AEC.A1D0003
1:03AEC,A1D,55.4,36,244,12,279,126,109,Z54664ANTI-TAN,,1:03AEC.A1D0004
1:03AEC,A1D,78.6,64.2,320,7,341,135,118,Z62381RECOVERY,,1:03AEC.A1D0005
1:03AEC,R1D,37.5,10.1,170,34,255,96,106,Z40430TRUCK CA,,1:03AEC.R1D0001
1:03AEC,R1D,40.9,11.7,185,4,278,96,106,Z40439TRUCK CA,,1:03AEC.R1D0002
1:03AEC,R1D,37.5,10.1,170,6,255,96,106,Z60951TRUCK CA,,1:03AEC.R1D0003
1:03AEC,R1D,52.9,18.2,239,1,359,96,106,Z94433TRUCK WR,,1:03AEC.R1D0004
1:03AEC,A2D,25.8,13.8,155,6,210,106,80,C10990CARRIER:,,1:03AEC.A2D0001
1:03AEC,A2D,24.4,12.5,144,17,208,100,81,C18234CARRIER,,1:03AEC.A2D0002
1:03AEC,A2D,28.9,12.7,133,5,192,100,104,D11538CARRIER,,1:03AEC.A2D0003
1:03AEC,A2D,45.4,22.1,210,58,258,117,104,F40375FIGHTING,,1:03AEC.A2D0004
1:03AEC,J2D,17.7,2.2,101,1,167,87,84,W32730SHOP EQU,,1:03AEC.J2D0001
1:03AEC,R2B,12,2.6,109,32,187,84,53,T61494TRK UTIL,,1:03AEC.R2B0001
1:03AEC,R2B,15.4,1.5,91,9,162,81,81,W98825TRAILER,,1:03AEC.R2B0002
1:03AEC,R2B,7.9,0.7,76,1,147,74,50,W95537TRAILER,,1:03AEC.R2B0003
1:03AEC,R2D,31.1,2.7,161,5,254,91,93,K28601FIELD FE,,1:03AEC.R2D0001
1:03AEC,R2D,22.5,3.6,115,4,178,93,94,L28351KITCHEN,,1:03AEC.R2D0002
1:03AEC,R2D,59.6,23,283,4,400,102,101,T39586TRUCK CA,,1:03AEC.R2D0003
1:03AEC,R2D,59.6,23.4,283,1,400,102,101,T39654TRUCK CA,,1:03AEC.R2D0004
1:03AEC,R2D,59.8,22.6,284,5,401,102,101,T39518TRUCK CA,,1:03AEC.R2D0005
1:03AEC,R2D,56.3,22.6,267,7,401,96,101,T59278TRUCK CA,,1:03AEC.R2D0006
1:03AEC,R2D,56.7,21.7,269,1,384,101,101,T63093TRUCK WR,,1:03AEC.R2D0007
1:03AEC,R2D,56.3,19.1,267,8,401,96,101,T87243TRK TANK,,1:03AEC.R2D0008
1:03AEC,R2D,24.1,3.7,119,1,179,96,97,W48391WLD SHOP,,1:03AEC.R2D0009
1:03AEC,R2D,8.8,0.7,81,6,136,86,52,Z36272TRAILER,,1:03AEC.R2D0010
1:03AEC,R2D,16.8,1.2,139,22,209,96,58,Z36068TRAILER,,1:03AEC.R2D0011
1:03AEC,R2D,17.7,2.4,147,21,220,96,58,Z90712TRLR CGO,,1:03AEC.R2D0012
